"Порядковый номер";"ID участника";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Дата выбора конкурсной группы по Москве"
46;1177940;2;"—";195;"72 54 69";0;"Конкурсная группа исключена";"02.07.2026 в 19:16"
47;1166058;1;"—";193;"76 57 60";0;"Участвуете в конкурсе";"27.06.2026 в 12:08"
48;1562336;1;"—";189;"64 53 72";0;"Участвуете в конкурсе";"10.07.2026 в 13:43"
49;1897473;3;"—";186;"58 56 72";0;"Участвуете в конкурсе";"11.07.2026 в 21:11"
50;1727983;4;"—";178;"76 47 55";0;"Участвуете в конкурсе";"06.07.2026 в 22:22"
51;1242174;4;"—";171;"46 56 69";0;"Участвуете в конкурсе";"29.06.2026 в 21:20"
52;1085235;2;"Электронное";167;"46 63 52";6;"Участвуете в конкурсе";"05.07.2026 в 20:25"
53;1200544;2;"—";164;"46 58 57";3;"Участвуете в конкурсе";"28.06.2026 в 16:37"
54;1959453;4;"—";161;"64 42 55";0;"Ожидаются результаты испытаний";"10.07.2026 в 19:47"
55;1252639;5;"—";160;"52 51 57";0;"Участвуете в конкурсе";"01.07.2026 в 12:15"
56;1276674;4;"—";160;"58 48 54";0;"Участвуете в конкурсе";"29.06.2026 в 21:58"
57;1731267;1;"—";157;"46 48 63";0;"Участвуете в конкурсе";"07.07.2026 в 01:19"
58;1673912;1;"—";152;"46 49 57";0;"Участвуете в конкурсе";"06.07.2026 в 12:30"
59;1461966;1;"—";150;"58 47 43";2;"Участвуете в конкурсе";"11.07.2026 в 12:30"
60;1853216;1;"—";142;"40 47 52";3;"Участвуете в конкурсе";"14.07.2026 в 14:18"
61;1913598;1;"—";128;"34 52 42";0;"Ожидаются результаты испытаний";"09.07.2026 в 22:36"
62;1568293;1;"—";122;"40 36 46";0;"Ожидаются результаты испытаний";"03.07.2026 в 18:24"
63;1156840;1;"—";95;"40 55";0;"На рассмотрении";"26.06.2026 в 20:48"
64;1006361;1;"—";0;"—";0;"Ожидаются результаты испытаний";"22.06.2026 в 04:50"
65;1266531;2;"—";0;"—";0;"На рассмотрении";"29.06.2026 в 21:52"
66;1613745;2;"—";0;"—";0;"Ожидаются результаты испытаний";"12.07.2026 в 17:11"
67;1825531;1;"—";0;"—";0;"Конкурсная группа исключена";"08.07.2026 в 13:17"
68;1878160;1;"—";0;"—";0;"Ожидаются результаты испытаний";"09.07.2026 в 12:02"
